Questions,Answers
How many jobs were in the Accommodation and Food Services sector in Bergen County in 2022?,"There were 36,329 jobs in the Accommodation and Food Services sector in Bergen County in 2022."
What was the employment in the Transportation & Warehousing sector in Bergen County in 2022?,"The employment in the Transportation & Warehousing sector in Bergen County in 2022 was 34,284."
How many jobs were in the Educational Services sector in Bergen County in 2022?,"There were 17,962 jobs in the Educational Services sector in Bergen County in 2022."
"What was the job count in the Arts, Entertainment, and Recreation sector in Bergen County in 2022?","The job count in the Arts, Entertainment, and Recreation sector in Bergen County in 2022 was 14,710."
What percentage of Bergen County homeowners were moderately cost-burdened?,17.2 percent of Bergen County homeowners were moderately cost-burdened.
What percentage of Bergen County renters were severely cost-burdened?,26.0 percent of Bergen County renters were severely cost-burdened.
What is the total number of cost-burdened owners in Bergen County?,30.8 percent of Bergen County homeowners were cost-burdened.
How does the percentage of cost-burdened renters in Bergen County compare to owners?,"48.7 percent of renters in Bergen County were cost-burdened, compared to 30.8 percent of homeowners."
What percentage of housing units in Bergen County were renter-occupied?,33.3 percent of housing units in Bergen County were renter-occupied.
What percentage of Bergen County residents were uninsured in 2021?,7.3 percent of Bergen County residents were uninsured in 2021.
What is the share of residents in Bergen County at or below 138% of the poverty level who are uninsured?,20.2 percent of residents in Bergen County at or below 138% of the poverty level were uninsured.
What is the percentage of uninsured Bergen County residents living below 200% of the poverty level?,19.5 percent of Bergen County residents living below 200% of the poverty level were uninsured.
What percentage of Bergen County residents had health insurance in 2022?,92.7 percent of Bergen County residents had health insurance in 2022.
How many children in Bergen County lived in poverty in 2022?,"5,073 children in Bergen County lived in poverty in 2022."
What was the GDP of Bergen County in 2018?,The GDP of Bergen County in 2018 was $78.1 billion.
How did Bergen County's GDP change from 2017 to 2019?,Bergen County's GDP increased from $76.1 billion in 2017 to $79.7 billion in 2019.
Which year showed the lowest GDP for Bergen County from 2017 to 2022?,"The year 2020 showed the lowest GDP for Bergen County from 2017 to 2022, with $76.7 billion."
What was the GDP for the Professional & Business Services industry in Bergen County in 2020?,The GDP for the Professional & Business Services industry in Bergen County in 2020 was $11.7 billion.
What was the GDP of the Wholesale Trade industry in Bergen County in 2022?,The GDP of the Wholesale Trade industry in Bergen County in 2022 was $13.7 billion.
What was the unemployment rate in Bergen County in 2022?,The unemployment rate in Bergen County in 2022 was 3.5 percent.
How many individuals in Bergen County were employed in 2022?,"In 2022, 494,480 individuals in Bergen County were employed."
What was the size of the civilian labor force in Bergen County in 2022?,"The civilian labor force in Bergen County in 2022 was 514,345 individuals."
How did the unemployment rate in Bergen County fluctuate from 2018 to 2022?,"The unemployment rate in Bergen County fluctuated from 3.8 percent in 2018 to a high during 2020, then returned to 3.5 percent in 2022."
What year recorded the highest unemployment rate in Bergen County from 2018 to 2023?,The highest unemployment rate in Bergen County from 2018 to 2023 occurred in 2020 due to the pandemic.
"What percentage of households in Bergen County earned between $25,000 and $49,999 annually?","11.7 percent of households in Bergen County earned between $25,000 and $49,999 annually."
"What percentage of Bergen County households earned less than $50,000 annually?","21.2 percent of Bergen County households earned less than $50,000 annually."
"How many households in Bergen County had incomes between $100,000 and $199,999 annually?","108,000 households in Bergen County had incomes between $100,000 and $199,999 annually."
"What proportion of households in Bergen County earned more than $100,000 annually?","57.2 percent of households in Bergen County earned more than $100,000 annually."
What was the average household income in Bergen County compared to the national average?,"The average household income in Bergen County, at $161,998, was significantly higher than the national average of $75,149."
How many jobs were in the Government & Government Enterprises sector in Bergen County in 2022?,"There were 50,030 jobs in the Government & Government Enterprises sector in Bergen County in 2022."
What was the job count in the Information sector in Bergen County in 2022?,"The job count in the Information sector in Bergen County in 2022 was 13,800."
How many jobs were in the Construction sector in Bergen County in 2022?,"There were 28,221 jobs in the Construction sector in Bergen County in 2022."
Which sector had the fewest jobs in Bergen County in 2022?,"The Farming sector had the fewest jobs in Bergen County in 2022, with 583 jobs."
"What was the job count in the Arts, Entertainment, and Recreation sector in Bergen County in 2020?","The job count in the Arts, Entertainment, and Recreation sector in Bergen County in 2020 was 12,007."
What percentage of Bergen County housing units were vacant?,Approximately 4.5 percent of housing units in Bergen County were vacant.
What proportion of renter-occupied units in Bergen County were cost-burdened?,48.7 percent of renter-occupied units in Bergen County were cost-burdened.
How does the percentage of owner-occupied housing units in Bergen County compare to the national figure?,"62.2 percent of housing units in Bergen County were owner-occupied, compared to 57.8 percent nationally."
What percentage of Bergen County renters were moderately cost-burdened?,22.7 percent of Bergen County renters were moderately cost-burdened.
What percentage of Bergen County homeowners were severely cost-burdened?,13.6 percent of Bergen County homeowners were severely cost-burdened.
What was the child poverty rate in Bergen County in 2022?,The child poverty rate in Bergen County in 2022 was 8.1 percent.
What percentage of Bergen County residents lived below the poverty line in 2022?,7.0 percent of Bergen County residents lived below the poverty line in 2022.
What is the percentage of Bergen County residents uninsured and below 250% of the poverty level?,18.2 percent of Bergen County residents uninsured lived below 250% of the poverty level.
What was the percentage of residents in Bergen County living at or below 400% of the poverty level?,14.7 percent of Bergen County residents lived at or below 400% of the poverty level.
What percentage of Bergen County residents without health insurance lived at or below 138% of the poverty line?,20.2 percent of Bergen County residents without health insurance lived at or below 138% of the poverty line.
